subject act_desc features avg_measurement
1 LAYING fBodyAcc-mean()-X -0.976725059791667
1 LAYING fBodyAcc-mean()-Y -0.979800877916667
1 LAYING fBodyAcc-mean()-Z -0.984380981875
1 LAYING fBodyAcc-std()-X -0.973246482083333
1 LAYING fBodyAcc-std()-Y -0.981025105625
1 LAYING fBodyAcc-std()-Z -0.984792185
1 LAYING fBodyAccJerk-mean()-X -0.985813630833333
1 LAYING fBodyAccJerk-mean()-Y -0.982768250416667
1 LAYING fBodyAccJerk-mean()-Z -0.986197134583333
1 LAYING fBodyAccJerk-std()-X -0.987250255833333
1 LAYING fBodyAccJerk-std()-Y -0.984987392916667
1 LAYING fBodyAccJerk-std()-Z -0.989345368541667
1 LAYING fBodyAccMag-mean() -0.975110196458333
1 LAYING fBodyAccMag-std() -0.975121387916667
1 LAYING fBodyBodyAccJerkMag-mean() -0.985374114791667
1 LAYING fBodyBodyAccJerkMag-std() -0.984568489166667
1 LAYING fBodyBodyGyroJerkMag-mean() -0.990248702291667
1 LAYING fBodyBodyGyroJerkMag-std() -0.989492660416667
1 LAYING fBodyBodyGyroMag-mean() -0.972112972708333
1 LAYING fBodyBodyGyroMag-std() -0.96109837875
1 LAYING fBodyGyro-mean()-X -0.9864311425
1 LAYING fBodyGyro-mean()-Y -0.983321635416667
1 LAYING fBodyGyro-mean()-Z -0.9626718875
1 LAYING fBodyGyro-std()-X -0.988860685833333
1 LAYING fBodyGyro-std()-Y -0.981910616458333
1 LAYING fBodyGyro-std()-Z -0.963174222291667
1 LAYING tBodyAcc-mean()-X 0.281373403958333
1 LAYING tBodyAcc-mean()-Y -0.0181587397583333
1 LAYING tBodyAcc-mean()-Z -0.107245610416667
1 LAYING tBodyAcc-std()-X -0.974059464791667
1 LAYING tBodyAcc-std()-Y -0.98027739875
1 LAYING tBodyAcc-std()-Z -0.984233296875
1 LAYING tBodyAccJerk-mean()-X 0.0825972511666667
1 LAYING tBodyAccJerk-mean()-Y 0.012254788451875
1 LAYING tBodyAccJerk-mean()-Z -0.00180264895625
1 LAYING tBodyAccJerk-std()-X -0.98587216875
1 LAYING tBodyAccJerk-std()-Y -0.98317254125
1 LAYING tBodyAccJerk-std()-Z -0.988442014375
1 LAYING tBodyAccJerkMag-mean() -0.987741696041667
1 LAYING tBodyAccJerkMag-std() -0.98551807625
1 LAYING tBodyAccMag-mean() -0.977435485208333
1 LAYING tBodyAccMag-std() -0.972873912916667
1 LAYING tBodyGyro-mean()-X -0.01847660675
1 LAYING tBodyGyro-mean()-Y -0.111800824583333
1 LAYING tBodyGyro-mean()-Z 0.144882846104167
1 LAYING tBodyGyro-std()-X -0.988275232916667
1 LAYING tBodyGyro-std()-Y -0.982291608958333
1 LAYING tBodyGyro-std()-Z -0.960306560416667
1 LAYING tBodyGyroJerk-mean()-X -0.101974134208333
1 LAYING tBodyGyroJerk-mean()-Y -0.0358590176083333
1 LAYING tBodyGyroJerk-mean()-Z -0.0701783020833333
1 LAYING tBodyGyroJerk-std()-X -0.993235849166667
1 LAYING tBodyGyroJerk-std()-Y -0.989567537916667
1 LAYING tBodyGyroJerk-std()-Z -0.98803582125
1 LAYING tBodyGyroJerkMag-mean() -0.991767074166667
1 LAYING tBodyGyroJerkMag-std() -0.989718095208333
1 LAYING tBodyGyroMag-mean() -0.950011569583333
